JobRole,employees,actual_attrition_rate,mean_attrition_probability,high_risk_share
Manager,102,0.1568627450980392,0.3639629335568118,0.3235294117647059
Laboratory Technician,259,0.17374517374517376,0.35507530731738274,0.3088803088803089
Research Scientist,292,0.1917808219178082,0.35203304054739437,0.3082191780821918
Research Director,80,0.2125,0.3517836448514346,0.3
Manufacturing Director,145,0.16551724137931034,0.34126229474994774,0.2827586206896552
Sales Representative,83,0.10843373493975904,0.3288753912319557,0.26506024096385544
Sales Executive,326,0.1441717791411043,0.3260089450918106,0.26993865030674846
Healthcare Representative,131,0.13740458015267176,0.3129077422387765,0.2595419847328244
Human Resources,52,0.09615384615384616,0.24037668187494182,0.1346153846153846
