threshold,roc_auc,pr_auc,precision,recall,f1,fbeta_2,balanced_accuracy,true_negative,false_positive,false_negative,true_positive,selected_employees,intervention_rate
0.05,0.802480833835817,0.6285531563203623,0.19534883720930232,0.8936170212765957,0.32061068702290074,0.521091811414392,0.5966060814885003,74,173,5,42,215,0.7312925170068028
0.1,0.802480833835817,0.6285531563203623,0.2074468085106383,0.8297872340425532,0.3319148936170213,0.5186170212765957,0.613274183822896,98,149,8,39,188,0.6394557823129252
0.15,0.802480833835817,0.6285531563203623,0.2375,0.8085106382978723,0.3671497584541063,0.5459770114942529,0.6572917563958998,125,122,9,38,160,0.54421768707483
0.2,0.802480833835817,0.6285531563203623,0.2620689655172414,0.8085106382978723,0.3958333333333334,0.5705705705705706,0.6876561288655354,140,107,9,38,145,0.4931972789115646
0.25,0.802480833835817,0.6285531563203623,0.2803030303030303,0.7872340425531915,0.4134078212290503,0.578125,0.7013093289689034,152,95,10,37,132,0.4489795918367347
0.3,0.802480833835817,0.6285531563203623,0.31896551724137934,0.7872340425531915,0.45398773006134974,0.6085526315789475,0.7336979929365148,168,79,10,37,116,0.3945578231292517
0.35,0.802480833835817,0.6285531563203623,0.34579439252336447,0.7872340425531915,0.4805194805194805,0.6271186440677965,0.7519166164182962,177,70,10,37,107,0.36394557823129253
0.4,0.802480833835817,0.6285531563203623,0.3627450980392157,0.7872340425531915,0.4966442953020134,0.6379310344827587,0.7620380739081747,182,65,10,37,102,0.3469387755102041
0.45,0.802480833835817,0.6285531563203623,0.391304347826087,0.7659574468085106,0.5179856115107915,0.6428571428571428,0.7696183995176156,191,56,11,36,92,0.3129251700680272
0.5,0.802480833835817,0.6285531563203623,0.4268292682926829,0.7446808510638298,0.5426356589147286,0.6481481481481483,0.7771987251270566,200,47,12,35,82,0.2789115646258503
0.55,0.802480833835817,0.6285531563203623,0.4520547945205479,0.7021276595744681,0.5499999999999999,0.632183908045977,0.7700921698682057,207,40,14,33,73,0.24829931972789115
0.6,0.802480833835817,0.6285531563203623,0.4492753623188406,0.6595744680851063,0.5344827586206896,0.603112840466926,0.7528641571194763,209,38,16,31,69,0.23469387755102042
0.65,0.802480833835817,0.6285531563203623,0.5084745762711864,0.6382978723404256,0.5660377358490567,0.6072874493927126,0.7604444827289172,218,29,17,30,59,0.20068027210884354
0.7,0.802480833835817,0.6285531563203623,0.5660377358490566,0.6382978723404256,0.6,0.6224066390041493,0.7725902317167714,224,23,17,30,53,0.18027210884353742
0.75,0.802480833835817,0.6285531563203623,0.5625,0.574468085106383,0.5684210526315789,0.5720338983050848,0.7447239210957016,226,21,20,27,48,0.16326530612244897
0.8,0.802480833835817,0.6285531563203623,0.6410256410256411,0.5319148936170213,0.5813953488372093,0.5506607929515419,0.7376173658368508,233,14,22,25,39,0.1326530612244898
0.85,0.802480833835817,0.6285531563203623,0.7241379310344828,0.44680851063829785,0.5526315789473684,0.48387096774193544,0.7072099233353433,239,8,26,21,29,0.09863945578231292
0.9,0.802480833835817,0.6285531563203623,0.8,0.425531914893617,0.5555555555555557,0.4694835680751173,0.70264449995693,242,5,27,20,25,0.08503401360544217
0.95,0.802480833835817,0.6285531563203623,0.8235294117647058,0.2978723404255319,0.4375,0.34146341463414626,0.6428632957188388,244,3,33,14,17,0.05782312925170068
